Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Air France,8/6/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,401"
British Airways,8/6/2022,TLV,DUB,LHR,16:40,22:30,7h 50m,1 stop,"1,403"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,13:30,8h 20m,1 stop,"1,403"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,424"
SWISS,8/6/2022,TLV,DUB,ZRH,4:50,11:45,8h 55m,1 stop,"1,531"
Lufthansa,8/6/2022,TLV,DUB,FRA,16:30,22:20,7h 50m,1 stop,"1,585"
British Airways,8/6/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,672"
Austrian Airlines,8/6/2022,TLV,DUB,"VIE, FRA",15:35,22:20,8h 45m,2 stops,"1,699"
British Airways,8/6/2022,TLV,ORK,LHR,16:40,23:50,9h 10m,1 stop,"1,702"
British Airways,8/6/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,702"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,15:00,9h 50m,1 stop,"1,733"
Air France,8/6/2022,TLV,DUB,CDG,7:50,13:25,7h 35m,1 stop,"1,806"
Lufthansa,8/6/2022,TLV,DUB,FRA,4:50,11:25,8h 35m,1 stop,"2,074"
KLM,8/6/2022,TLV,DUB,AMS,4:45,12:35,9h 50m,1 stop,"2,121"
Air France,8/6/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,412"
Ryanair,8/6/2022,TLV,DUB,BUD,12:10,18:30,8h 20m,1 stop,809
Air France,8/6/2022,TLV,DUB,CDG,16:30,23:00,8h 30m,1 stop,"1,016"
Air France,8/6/2022,TLV,DUB,CDG,7:50,14:05,8h 15m,1 stop,"1,104"
Air France,8/6/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,401"
British Airways,8/6/2022,TLV,DUB,LHR,16:40,22:30,7h 50m,1 stop,"1,403"
KLM,8/6/2022,TLV,DUB,AMS,4:45,10:20,7h 35m,1 stop,"1,332"
Ryanair,8/6/2022,TLV,SNN,CFU,10:45,17:45,9h 00m,1 stop,"1,344"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,13:30,8h 20m,1 stop,"1,356"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,13:30,8h 20m,1 stop,"1,403"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,424"
Lufthansa,8/6/2022,TLV,DUB,FRA,16:30,22:20,7h 50m,1 stop,"1,585"
SWISS,8/6/2022,TLV,DUB,ZRH,4:50,11:45,8h 55m,1 stop,"1,531"
British Airways,8/6/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,672"
Austrian Airlines,8/6/2022,TLV,DUB,"VIE, FRA",15:35,22:20,8h 45m,2 stops,"1,699"
British Airways,8/6/2022,TLV,ORK,LHR,16:40,23:50,9h 10m,1 stop,"1,702"
British Airways,8/6/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,702"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,15:00,9h 50m,1 stop,"1,733"
Air France,8/6/2022,TLV,DUB,CDG,7:50,13:25,7h 35m,1 stop,"1,806"
Lufthansa,8/6/2022,TLV,DUB,FRA,4:50,11:25,8h 35m,1 stop,"2,074"
KLM,8/6/2022,TLV,DUB,AMS,4:45,12:35,9h 50m,1 stop,"2,121"
KLM,8/6/2022,TLV,DUB,AMS,4:45,10:20,7h 35m,1 stop,"1,332"
Air France,8/6/2022,TLV,DUB,CDG,7:50,13:25,7h 35m,1 stop,"1,806"
British Airways,8/6/2022,TLV,DUB,LHR,16:40,22:30,7h 50m,1 stop,"1,403"
Lufthansa,8/6/2022,TLV,DUB,FRA,16:30,22:20,7h 50m,1 stop,"1,585"
Air France,8/6/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,401"
Air France,8/6/2022,TLV,DUB,CDG,7:50,14:05,8h 15m,1 stop,"1,104"
Ryanair,8/6/2022,TLV,DUB,BUD,12:10,18:30,8h 20m,1 stop,809
British Airways,8/6/2022,TLV,DUB,LHR,7:10,13:30,8h 20m,1 stop,"1,356"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,13:30,8h 20m,1 stop,"1,403"
Air France,8/6/2022,TLV,DUB,CDG,16:30,23:00,8h 30m,1 stop,"1,016"
Lufthansa,8/6/2022,TLV,DUB,FRA,4:50,11:25,8h 35m,1 stop,"2,074"
Austrian Airlines,8/6/2022,TLV,DUB,"VIE, FRA",15:35,22:20,8h 45m,2 stops,"1,699"
SWISS,8/6/2022,TLV,DUB,ZRH,4:50,11:45,8h 55m,1 stop,"1,531"
Ryanair,8/6/2022,TLV,SNN,CFU,10:45,17:45,9h 00m,1 stop,"1,344"
British Airways,8/6/2022,TLV,ORK,LHR,16:40,23:50,9h 10m,1 stop,"1,702"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,424"
British Airways,8/6/2022,TLV,DUB,LHR,7:10,15:00,9h 50m,1 stop,"1,733"
KLM,8/6/2022,TLV,DUB,AMS,4:45,12:35,9h 50m,1 stop,"2,121"
British Airways,8/6/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,672"
British Airways,8/6/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,702"
FLYONE,8/7/2022,TLV,DUB,KIV,16:40,22:10,7h 30m,1 stop,"1,067"
Ryanair,8/7/2022,TLV,DUB,BUD,12:20,19:15,8h 55m,1 stop,"1,142"
Virgin Atlantic,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,172"
Air France,8/7/2022,TLV,DUB,CDG,16:30,23:00,8h 30m,1 stop,"1,332"
British Airways,8/7/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,356"
British Airways,8/7/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,403"
KLM,8/7/2022,TLV,DUB,AMS,4:45,10:20,7h 35m,1 stop,"1,468"
EL AL,8/7/2022,TLV,DUB,BCN,17:30,0:40,9h 10m,1 stop,"1,478"
SWISS,8/7/2022,TLV,DUB,ZRH,4:50,11:45,8h 55m,1 stop,"1,531"
Air France,8/7/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,574"
Lufthansa,8/7/2022,TLV,DUB,FRA,16:30,22:10,7h 40m,1 stop,"1,585"
Lufthansa,8/7/2022,TLV,DUB,FRA,4:50,11:20,8h 30m,1 stop,"1,585"
British Airways,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,672"
British Airways,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,702"
KLM,8/7/2022,TLV,DUB,AMS,4:45,12:35,9h 50m,1 stop,"1,824"
FLYONE,8/7/2022,TLV,DUB,KIV,16:40,22:10,7h 30m,1 stop,"1,087"
FLYONE,8/7/2022,TLV,DUB,KIV,16:40,22:10,7h 30m,1 stop,"1,067"
Ryanair,8/7/2022,TLV,DUB,BUD,12:20,19:15,8h 55m,1 stop,"1,142"
Virgin Atlantic,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,172"
Air France,8/7/2022,TLV,DUB,CDG,16:30,23:00,8h 30m,1 stop,"1,332"
British Airways,8/7/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,403"
EL AL,8/7/2022,TLV,DUB,BCN,17:30,0:40,9h 10m,1 stop,"1,478"
Air France,8/7/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,574"
Lufthansa,8/7/2022,TLV,DUB,FRA,16:30,22:10,7h 40m,1 stop,"1,585"
British Airways,8/7/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,356"
KLM,8/7/2022,TLV,DUB,AMS,4:45,10:20,7h 35m,1 stop,"1,468"
SWISS,8/7/2022,TLV,DUB,ZRH,4:50,11:45,8h 55m,1 stop,"1,531"
Lufthansa,8/7/2022,TLV,DUB,FRA,4:50,11:20,8h 30m,1 stop,"1,585"
British Airways,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,702"
British Airways,8/7/2022,TLV,DUB,LHR,16:40,22:30,7h 50m,1 stop,"1,855"
British Airways,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,672"
KLM,8/7/2022,TLV,DUB,AMS,4:45,12:35,9h 50m,1 stop,"1,824"
British Airways,8/7/2022,TLV,ORK,LHR,16:40,23:50,9h 10m,1 stop,"2,181"
FLYONE,8/7/2022,TLV,DUB,KIV,16:40,22:10,7h 30m,1 stop,"1,067"
KLM,8/7/2022,TLV,DUB,AMS,4:45,10:20,7h 35m,1 stop,"1,468"
Lufthansa,8/7/2022,TLV,DUB,FRA,16:30,22:10,7h 40m,1 stop,"1,585"
British Airways,8/7/2022,TLV,DUB,LHR,16:40,22:30,7h 50m,1 stop,"1,855"
Air France,8/7/2022,TLV,DUB,CDG,16:30,22:40,8h 10m,1 stop,"1,574"
Air France,8/7/2022,TLV,DUB,CDG,16:30,23:00,8h 30m,1 stop,"1,332"
Lufthansa,8/7/2022,TLV,DUB,FRA,4:50,11:20,8h 30m,1 stop,"1,585"
Ryanair,8/7/2022,TLV,DUB,BUD,12:20,19:15,8h 55m,1 stop,"1,142"
SWISS,8/7/2022,TLV,DUB,ZRH,4:50,11:45,8h 55m,1 stop,"1,531"
EL AL,8/7/2022,TLV,DUB,BCN,17:30,0:40,9h 10m,1 stop,"1,478"
British Airways,8/7/2022,TLV,ORK,LHR,16:40,23:50,9h 10m,1 stop,"2,181"
British Airways,8/7/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,356"
British Airways,8/7/2022,TLV,DUB,LHR,7:10,14:50,9h 40m,1 stop,"1,403"
KLM,8/7/2022,TLV,DUB,AMS,4:45,12:35,9h 50m,1 stop,"1,824"
Virgin Atlantic,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,172"
British Airways,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,672"
British Airways,8/7/2022,TLV,ORK,LHR,7:10,15:10,10h 00m,1 stop,"1,702"
EL AL,6/6/2022,TLV,GVA,,6:10,9:40,4h 30m,nonstop,397
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,11:10,16:45,6h 35m,1 stop,423
easyJet,6/6/2022,TLV,GVA,,13:05,16:40,4h 35m,nonstop,599
EL AL,6/6/2022,TLV,ZRH,,16:30,19:50,4h 20m,nonstop,616
ITA Airways,6/6/2022,TLV,GVA,FCO,5:15,10:50,6h 35m,1 stop,632
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,6:55,12:50,6h 55m,1 stop,654
Pegasus Airlines,6/6/2022,TLV,GVA,SAW,6:55,13:15,7h 20m,1 stop,654
EL AL,6/6/2022,TLV,ZRH,,8:00,11:20,4h 20m,nonstop,820
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,5:10,12:50,8h 40m,1 stop,838
Pegasus Airlines,6/6/2022,TLV,ZRH,SAW,6:55,14:55,9h 00m,1 stop,838
Pegasus Airlines,6/6/2022,TLV,GVA,SAW,5:10,13:15,9h 05m,1 stop,838
AnadoluJet,6/6/2022,TLV,BSL,SAW,6:20,11:35,6h 15m,1 stop,975
Aegean Airlines,6/6/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,"1,009"
Turkish Airlines,6/6/2022,TLV,GVA,IST,4:50,10:40,6h 50m,1 stop,"1,021"
Turkish Airlines,6/6/2022,TLV,GVA,IST,7:00,14:00,8h 00m,1 stop,"1,021"
LOT,6/6/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,"1,068"
Turkish Airlines,6/6/2022,TLV,BSL,IST,4:50,10:10,6h 20m,1 stop,"1,086"
Pegasus Airlines,6/6/2022,TLV,ZRH,"AYT, SAW",6:00,14:55,9h 55m,2 stops,"1,132"
Pegasus Airlines,6/6/2022,TLV,ZRH,"AYT, SAW",6:00,14:55,9h 55m,2 stops,"1,132"
LOT,6/6/2022,TLV,ZRH,WAW,10:55,19:05,9h 10m,1 stop,"1,312"
Aegean Airlines,6/6/2022,TLV,ZRH,ATH,5:10,10:20,6h 10m,1 stop,"1,432"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,12:18,8h 28m,1 stop,"1,669"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,10:15,6h 25m,1 stop,"1,720"
SWISS,6/6/2022,TLV,ZRH,,4:50,8:10,4h 20m,nonstop,"1,727"
SWISS,6/6/2022,TLV,ZRH,,18:20,21:40,4h 20m,nonstop,"1,727"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,13:45,9h 55m,1 stop,"1,783"
Lufthansa,6/6/2022,TLV,GVA,MUC,17:10,23:20,7h 10m,1 stop,"1,796"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,15:35,21:20,6h 45m,1 stop,"1,797"
Lufthansa,6/6/2022,TLV,GVA,FRA,16:30,22:05,6h 35m,1 stop,"1,823"
Iberia,6/6/2022,TLV,GVA,MAD,5:30,13:25,8h 55m,1 stop,"1,829"
Aegean Airlines,6/6/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,"4,095"
Lufthansa,6/6/2022,TLV,GVA,MUC,7:15,12:30,6h 15m,1 stop,"4,611"
Air France,6/6/2022,TLV,ZRH,CDG,16:30,22:40,7h 10m,1 stop,"1,636"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,13:45,9h 55m,1 stop,"1,716"
Lufthansa,6/6/2022,TLV,GVA,MUC,17:10,23:20,7h 10m,1 stop,"1,728"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,15:35,21:20,6h 45m,1 stop,"1,765"
Lufthansa,6/6/2022,TLV,GVA,FRA,16:30,22:05,6h 35m,1 stop,"1,781"
Lufthansa,6/6/2022,TLV,BSL,FRA,4:50,10:40,6h 50m,1 stop,"1,867"
Royal Air Maroc,6/6/2022,TLV,GVA,CMN,8:10,16:50,9h 40m,1 stop,"1,869"
Lufthansa,6/6/2022,TLV,BSL,FRA,16:30,22:10,6h 40m,1 stop,"2,117"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,6:15,14:20,9h 05m,1 stop,"2,238"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,6:15,11:00,5h 45m,1 stop,"2,255"
Aegean Airlines,6/6/2022,TLV,ZRH,"HER, ATH",12:10,19:25,8h 15m,2 stops,"2,701"
LOT,6/6/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,"3,334"
Lufthansa,6/6/2022,TLV,BSL,MUC,7:15,16:15,10h 00m,1 stop,"3,597"
Brussels Airlines,6/6/2022,TLV,GVA,"FRA, BRU",8:00,16:20,9h 20m,2 stops,"3,709"
Lufthansa,6/6/2022,TLV,GVA,"FRA, MUC",8:00,16:55,9h 55m,2 stops,"3,783"
EL AL,6/6/2022,TLV,GVA,,6:10,9:40,4h 30m,nonstop,453
EL AL,6/6/2022,TLV,GVA,,6:10,9:40,4h 30m,nonstop,381
EL AL,6/6/2022,TLV,ZRH,,16:30,19:50,4h 20m,nonstop,524
easyJet,6/6/2022,TLV,GVA,,13:05,16:40,4h 35m,nonstop,579
EL AL,6/6/2022,TLV,ZRH,,8:00,11:20,4h 20m,nonstop,693
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,11:10,16:45,6h 35m,1 stop,415
ITA Airways,6/6/2022,TLV,GVA,FCO,5:15,10:50,6h 35m,1 stop,568
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,6:55,12:50,6h 55m,1 stop,654
Pegasus Airlines,6/6/2022,TLV,GVA,SAW,6:55,13:15,7h 20m,1 stop,654
SWISS,6/6/2022,TLV,ZRH,,18:20,21:40,4h 20m,nonstop,"1,143"
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,5:10,12:50,8h 40m,1 stop,838
Pegasus Airlines,6/6/2022,TLV,ZRH,SAW,6:55,14:55,9h 00m,1 stop,838
Pegasus Airlines,6/6/2022,TLV,GVA,SAW,5:10,13:15,9h 05m,1 stop,838
AnadoluJet,6/6/2022,TLV,BSL,SAW,6:20,11:35,6h 15m,1 stop,962
Aegean Airlines,6/6/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,999
Turkish Airlines,6/6/2022,TLV,GVA,IST,4:50,10:40,6h 50m,1 stop,"1,006"
Turkish Airlines,6/6/2022,TLV,GVA,IST,7:00,14:00,8h 00m,1 stop,"1,006"
Turkish Airlines,6/6/2022,TLV,BSL,IST,4:50,10:10,6h 20m,1 stop,"1,067"
SWISS,6/6/2022,TLV,ZRH,,4:50,8:10,4h 20m,nonstop,"1,286"
Aegean Airlines,6/6/2022,TLV,ZRH,ATH,5:10,10:20,6h 10m,1 stop,"1,357"
LOT,6/6/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,"1,067"
Pegasus Airlines,6/6/2022,TLV,ZRH,"AYT, SAW",6:00,14:55,9h 55m,2 stops,"1,118"
Pegasus Airlines,6/6/2022,TLV,ZRH,"AYT, SAW",6:00,14:55,9h 55m,2 stops,"1,118"
LOT,6/6/2022,TLV,ZRH,WAW,10:55,19:05,9h 10m,1 stop,"1,196"
easyJet,6/6/2022,TLV,BSL,BER,14:10,22:40,9h 30m,1 stop,"1,306"
Air France,6/6/2022,TLV,BSL,CDG,16:30,23:00,7h 30m,1 stop,"1,363"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,10:15,6h 25m,1 stop,"1,406"
KLM,6/6/2022,TLV,BSL,CDG,16:30,23:00,7h 30m,1 stop,"1,432"
easyJet,6/6/2022,TLV,GVA,AMS,14:20,22:05,8h 45m,1 stop,"1,480"
Iberia,6/6/2022,TLV,GVA,MAD,5:30,13:25,8h 55m,1 stop,"1,556"
Lufthansa,6/6/2022,TLV,EAP,FRA,16:30,0:50,9h 20m,1 stop,"1,579"
Air France,6/6/2022,TLV,ZRH,CDG,16:30,22:40,7h 10m,1 stop,"1,636"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,13:45,9h 55m,1 stop,"1,716"
Lufthansa,6/6/2022,TLV,GVA,MUC,17:10,23:20,7h 10m,1 stop,"1,728"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,15:35,21:20,6h 45m,1 stop,"1,765"
Lufthansa,6/6/2022,TLV,GVA,FRA,16:30,22:05,6h 35m,1 stop,"1,781"
Lufthansa,6/6/2022,TLV,BSL,FRA,4:50,10:40,6h 50m,1 stop,"1,867"
Royal Air Maroc,6/6/2022,TLV,GVA,CMN,8:10,16:50,9h 40m,1 stop,"1,869"
Lufthansa,6/6/2022,TLV,BSL,FRA,16:30,22:10,6h 40m,1 stop,"2,117"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,6:15,14:20,9h 05m,1 stop,"2,238"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,6:15,11:00,5h 45m,1 stop,"2,255"
Aegean Airlines,6/6/2022,TLV,ZRH,"HER, ATH",12:10,19:25,8h 15m,2 stops,"2,701"
LOT,6/6/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,"3,334"
Lufthansa,6/6/2022,TLV,BSL,MUC,7:15,16:15,10h 00m,1 stop,"3,597"
Brussels Airlines,6/6/2022,TLV,GVA,"FRA, BRU",8:00,16:20,9h 20m,2 stops,"3,709"
Lufthansa,6/6/2022,TLV,GVA,"FRA, MUC",8:00,16:55,9h 55m,2 stops,"3,783"
Royal Air Maroc,6/6/2022,TLV,GVA,CMN,8:10,16:50,9h 40m,1 stop,"3,916"
Brussels Airlines,6/6/2022,TLV,ZRH,"MUC, BRU",7:15,16:10,9h 55m,2 stops,"4,059"
Aegean Airlines,6/6/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,"4,095"
KLM,6/6/2022,TLV,GVA,AMS,4:45,13:35,9h 50m,1 stop,"4,307"
Lufthansa,6/6/2022,TLV,GVA,MUC,7:15,12:30,6h 15m,1 stop,"4,611"
Aegean Airlines,6/6/2022,TLV,ZRH,ATH,5:10,10:20,6h 10m,1 stop,"5,057"
EL AL,6/6/2022,TLV,ZRH,,16:30,19:50,4h 20m,nonstop,524
EL AL,6/6/2022,TLV,ZRH,,8:00,11:20,4h 20m,nonstop,693
SWISS,6/6/2022,TLV,ZRH,,18:20,21:40,4h 20m,nonstop,"1,143"
SWISS,6/6/2022,TLV,ZRH,,4:50,8:10,4h 20m,nonstop,"1,286"
EL AL,6/6/2022,TLV,GVA,,6:10,9:40,4h 30m,nonstop,381
easyJet,6/6/2022,TLV,GVA,,13:05,16:40,4h 35m,nonstop,579
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,6:15,11:00,5h 45m,1 stop,"2,255"
Aegean Airlines,6/6/2022,TLV,ZRH,ATH,5:10,10:20,6h 10m,1 stop,"1,357"
Aegean Airlines,6/6/2022,TLV,ZRH,ATH,5:10,10:20,6h 10m,1 stop,"5,057"
AnadoluJet,6/6/2022,TLV,BSL,SAW,6:20,11:35,6h 15m,1 stop,962
Lufthansa,6/6/2022,TLV,GVA,MUC,7:15,12:30,6h 15m,1 stop,"4,611"
Aegean Airlines,6/6/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,999
Turkish Airlines,6/6/2022,TLV,BSL,IST,4:50,10:10,6h 20m,1 stop,"1,067"
Aegean Airlines,6/6/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,"4,095"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,10:15,6h 25m,1 stop,"1,406"
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,11:10,16:45,6h 35m,1 stop,415
ITA Airways,6/6/2022,TLV,GVA,FCO,5:15,10:50,6h 35m,1 stop,568
Lufthansa,6/6/2022,TLV,GVA,FRA,16:30,22:05,6h 35m,1 stop,"1,781"
Lufthansa,6/6/2022,TLV,BSL,FRA,16:30,22:10,6h 40m,1 stop,"2,117"
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,15:35,21:20,6h 45m,1 stop,"1,765"
Turkish Airlines,6/6/2022,TLV,GVA,IST,4:50,10:40,6h 50m,1 stop,"1,006"
Lufthansa,6/6/2022,TLV,BSL,FRA,4:50,10:40,6h 50m,1 stop,"1,867"
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,6:55,12:50,6h 55m,1 stop,654
Air France,6/6/2022,TLV,ZRH,CDG,16:30,22:40,7h 10m,1 stop,"1,636"
Lufthansa,6/6/2022,TLV,GVA,MUC,17:10,23:20,7h 10m,1 stop,"1,728"
Pegasus Airlines,6/6/2022,TLV,GVA,SAW,6:55,13:15,7h 20m,1 stop,654
Air France,6/6/2022,TLV,BSL,CDG,16:30,23:00,7h 30m,1 stop,"1,363"
KLM,6/6/2022,TLV,BSL,CDG,16:30,23:00,7h 30m,1 stop,"1,432"
Turkish Airlines,6/6/2022,TLV,GVA,IST,7:00,14:00,8h 00m,1 stop,"1,006"
Aegean Airlines,6/6/2022,TLV,ZRH,"HER, ATH",12:10,19:25,8h 15m,2 stops,"2,701"
Pegasus Airlines,6/6/2022,TLV,BSL,SAW,5:10,12:50,8h 40m,1 stop,838
easyJet,6/6/2022,TLV,GVA,AMS,14:20,22:05,8h 45m,1 stop,"1,480"
Iberia,6/6/2022,TLV,GVA,MAD,5:30,13:25,8h 55m,1 stop,"1,556"
Pegasus Airlines,6/6/2022,TLV,ZRH,SAW,6:55,14:55,9h 00m,1 stop,838
LOT,6/6/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,"1,067"
LOT,6/6/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,"3,334"
Pegasus Airlines,6/6/2022,TLV,GVA,SAW,5:10,13:15,9h 05m,1 stop,838
Austrian Airlines,6/6/2022,TLV,ZRH,VIE,6:15,14:20,9h 05m,1 stop,"2,238"
LOT,6/6/2022,TLV,ZRH,WAW,10:55,19:05,9h 10m,1 stop,"1,196"
Lufthansa,6/6/2022,TLV,EAP,FRA,16:30,0:50,9h 20m,1 stop,"1,579"
Brussels Airlines,6/6/2022,TLV,GVA,"FRA, BRU",8:00,16:20,9h 20m,2 stops,"3,709"
easyJet,6/6/2022,TLV,BSL,BER,14:10,22:40,9h 30m,1 stop,"1,306"
Royal Air Maroc,6/6/2022,TLV,GVA,CMN,8:10,16:50,9h 40m,1 stop,"1,869"
Royal Air Maroc,6/6/2022,TLV,GVA,CMN,8:10,16:50,9h 40m,1 stop,"3,916"
KLM,6/6/2022,TLV,GVA,AMS,4:45,13:35,9h 50m,1 stop,"4,307"
Pegasus Airlines,6/6/2022,TLV,ZRH,"AYT, SAW",6:00,14:55,9h 55m,2 stops,"1,118"
Pegasus Airlines,6/6/2022,TLV,ZRH,"AYT, SAW",6:00,14:55,9h 55m,2 stops,"1,118"
SWISS,6/6/2022,TLV,GVA,ZRH,4:50,13:45,9h 55m,1 stop,"1,716"
Lufthansa,6/6/2022,TLV,GVA,"FRA, MUC",8:00,16:55,9h 55m,2 stops,"3,783"
Brussels Airlines,6/6/2022,TLV,ZRH,"MUC, BRU",7:15,16:10,9h 55m,2 stops,"4,059"
Lufthansa,6/6/2022,TLV,BSL,MUC,7:15,16:15,10h 00m,1 stop,"3,597"
easyJet,6/7/2022,TLV,BSL,,12:15,15:40,4h 25m,nonstop,575
easyJet,6/7/2022,TLV,BSL,,12:15,15:40,4h 25m,nonstop,530
easyJet,6/7/2022,TLV,GVA,,13:10,16:40,4h 30m,nonstop,539
EL AL,6/7/2022,TLV,ZRH,,8:00,11:20,4h 20m,nonstop,778
Pegasus Airlines,6/7/2022,TLV,BSL,SAW,6:55,12:50,6h 55m,1 stop,654
Pegasus Airlines,6/7/2022,TLV,GVA,SAW,6:55,13:15,7h 20m,1 stop,654
Turkish Airlines,6/7/2022,TLV,GVA,IST,4:50,10:40,6h 50m,1 stop,721
SWISS,6/7/2022,TLV,ZRH,,18:20,21:40,4h 20m,nonstop,"1,190"
Turkish Airlines,6/7/2022,TLV,GVA,IST,10:30,17:25,7h 55m,1 stop,721
Turkish Airlines,6/7/2022,TLV,GVA,IST,7:00,14:00,8h 00m,1 stop,721
Turkish Airlines,6/7/2022,TLV,ZRH,IST,7:00,13:50,7h 50m,1 stop,744
Turkish Airlines,6/7/2022,TLV,BSL,IST,10:30,17:45,8h 15m,1 stop,826
Turkish Airlines,6/7/2022,TLV,ZRH,IST,4:50,10:00,6h 10m,1 stop,890
Turkish Airlines,6/7/2022,TLV,ZRH,IST,10:30,17:55,8h 25m,1 stop,890
Aegean Airlines,6/7/2022,TLV,ZRH,ATH,5:10,11:00,6h 50m,1 stop,924
Aegean Airlines,6/7/2022,TLV,GVA,ATH,5:10,10:30,6h 20m,1 stop,999
Aegean Airlines,6/7/2022,TLV,ZRH,ATH,5:10,10:20,6h 10m,1 stop,"1,117"
SWISS,6/7/2022,TLV,ZRH,,4:50,8:10,4h 20m,nonstop,"1,467"
Turkish Airlines,6/7/2022,TLV,ZRH,IST,4:50,13:50,10h 00m,1 stop,744
Pegasus Airlines,6/7/2022,TLV,BSL,SAW,5:10,12:50,8h 40m,1 stop,838
Pegasus Airlines,6/7/2022,TLV,GVA,SAW,5:10,13:15,9h 05m,1 stop,838
LOT,6/7/2022,TLV,GVA,WAW,10:55,18:55,9h 00m,1 stop,957
LOT,6/7/2022,TLV,ZRH,WAW,10:55,19:05,9h 10m,1 stop,957
Iberia,6/7/2022,TLV,GVA,MAD,5:30,13:25,8h 55m,1 stop,979
